,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Incomr Cluster,Spending and Income Cluster
147,Female,32,77,74,0,1,1
148,Female,34,78,22,0,3,2
149,Male,34,78,90,0,1,1
150,Male,43,78,17,0,3,2
151,Male,39,78,88,0,1,1
152,Female,44,78,20,0,3,2
153,Female,38,78,76,0,1,1
154,Female,47,78,16,0,3,2
155,Female,27,78,89,0,1,1
156,Male,37,78,1,0,3,2
157,Female,30,78,78,0,1,1
158,Male,34,78,1,0,3,2
159,Female,30,78,73,0,1,1
160,Female,56,79,35,0,3,2
161,Female,29,79,83,0,1,1
162,Male,19,81,5,0,3,2
163,Female,31,81,93,0,1,1
164,Male,50,85,26,2,3,2
165,Female,36,85,75,2,1,1
166,Male,42,86,20,2,3,2
167,Female,33,86,95,2,1,1
168,Female,36,87,27,2,3,2
169,Male,32,87,63,2,1,1
170,Male,40,87,13,2,3,2
171,Male,28,87,75,2,1,1
172,Male,36,87,10,2,3,2
173,Male,36,87,92,2,1,1
174,Female,52,88,13,2,3,2
175,Female,30,88,86,2,1,1
176,Male,58,88,15,2,3,2
177,Male,27,88,69,2,1,1
178,Male,59,93,14,2,3,2
179,Male,35,93,90,2,1,1
180,Female,37,97,32,2,5,2
181,Female,32,97,86,2,7,1
182,Male,46,98,15,2,5,2
183,Female,29,98,88,2,7,1
184,Female,41,99,39,2,5,2
185,Male,30,99,97,2,7,1
186,Female,54,101,24,2,5,2
187,Male,28,101,68,2,7,1
188,Female,41,103,17,2,5,2
189,Female,36,103,85,2,7,1
190,Female,34,103,23,2,5,2
191,Female,32,103,69,2,7,1
192,Male,33,113,8,2,5,2
193,Female,38,113,91,2,7,1
194,Female,47,120,16,2,5,2
195,Female,35,120,79,2,7,1
196,Female,45,126,28,2,5,2
197,Male,32,126,74,2,7,1
198,Male,32,137,18,2,5,2
199,Male,30,137,83,2,7,1
